# lambda        U1          U2           U3           U4
#
  5522.2   0.00002279   0.00002276   0.00001071   0.00002623 
  5527.4   0.00002020   0.00001537   0.00000551   0.00001468 
  5532.7   0.00003078   0.00001263   0.00000178   0.00001596 
  5538.0   0.00000843   0.00001078   0.00001074   0.00002398 
  5543.3   0.00001602   0.00000486   0.00001009   0.00001162 
  5548.5   0.00002429   0.00001055   0.00000406   0.00001305 
  5553.8   0.00002090   0.00002657  -0.00000132   0.00002293 
  5559.1   0.00001793   0.00003082   0.00000886   0.00001611 
  5564.3   0.00001230   0.00002009   0.00001666   0.00001197 
  5569.6   0.00001732   0.00002141   0.00000458   0.00001197 
  5574.9   0.00001817   0.00002216   0.00000680   0.00000961 
  5580.2   0.00002277   0.00001695   0.00001040   0.00001902 
  5585.4   0.00001373   0.00002637   0.00001330   0.00004027 
  5590.7   0.00002576   0.00002324  -0.00000041   0.00004007 
  5596.0   0.00002739   0.00001630   0.00000661   0.00001803 
  5601.2   0.00002157   0.00001899   0.00002036   0.00001885 
  5606.5   0.00001943   0.00001379   0.00001311   0.00002062 
  5611.8   0.00001886   0.00001675   0.00000892   0.00001841 
  5617.1   0.00001371   0.00001453   0.00000888   0.00002063 
  5622.3   0.00002060   0.00000961   0.00001207   0.00002267 
  5627.6   0.00002266   0.00001133   0.00001235   0.00001630 
  5632.9   0.00002102   0.00001219   0.00000452   0.00000663 
  5638.2   0.00003125   0.00001275   0.00000562   0.00002763 
  5643.4   0.00001572   0.00000708   0.00000381   0.00002864 
  5648.7   0.00001207   0.00001493   0.00000511   0.00001446 
  5654.0   0.00002158   0.00002255   0.00000582   0.00003250 
  5659.2   0.00002723   0.00000929   0.00000130   0.00003176 
  5664.5   0.00001631   0.00001014   0.00000439   0.00000374 
  5669.8   0.00003127   0.00001523   0.00000360   0.00002659 
  5675.1   0.00001947   0.00001739   0.00000585   0.00002263 
  5680.3   0.00003349   0.00003636   0.00001236   0.00002901 
  5685.6   0.00000613   0.00003049   0.00001682   0.00003356 
