#wave   V1            V2         V3          V4
#
4217.33 7.58379e-05 9.57098e-05 0.000101917 0.0002584
4222.61 6.52475e-05 9.75405e-05 0.000106824 0.000119538
4227.88 0.000129938 0.000148082 5.1561e-05 0.000102484
4233.15 0.000122815 0.000107275 6.36559e-05 0.000121976
4238.42 9.66833e-05 9.08362e-05 7.19239e-05 0.000100024
4243.69 0.000156938 7.87946e-05 5.56639e-05 5.31498e-05
4248.97 6.43905e-05 0.000101554 3.36756e-05 0.000118274
4254.24 0.000124014 0.000136078 6.57308e-05 7.11016e-05
4259.51 0.000130135 6.47171e-05 9.44995e-05 9.27688e-05
4264.78 0.000128982 0.0001574 5.23602e-05 7.2671e-05
4270.05 0.000127353 8.06021e-05 9.64521e-05 8.54776e-05
4275.33 0.000202268 0.000122019 0.000153604 7.37083e-05
4280.6 8.87768e-05 8.83417e-05 5.5132e-05 0.000144389
4285.87 0.000133968 0.00012485 5.1455e-05 5.82785e-05
4291.14 0.000158605 9.79526e-05 6.80303e-05 9.94698e-05
4296.41 9.91386e-05 4.35577e-05 9.67259e-05 0.000128135
4301.69 0.000128067 0.000127652 6.65565e-05 0.000149073
4306.96 0.000149471 0.000123878 5.62219e-05 7.26987e-05
4312.23 0.000157393 1.47161e-05 0.000123763 8.92707e-05
4317.5 0.0001455 5.65378e-05 6.4522e-05 7.4989e-05
4322.78 0.000134957 0.000118148 3.43193e-05 5.31495e-05
4328.05 0.000177483 0.000118171 0.000102007 0.000102033
4333.32 0.000131225 0.000100334 0.000101867 6.46418e-05
4338.59 0.000233532 6.28231e-05 9.2763e-05 7.55528e-05
4343.86 0.000152951 4.6758e-05 8.08045e-05 0.000101764
4349.14 0.000185011 0.000149086 0.000158164 0.000134199
4354.41 0.000100729 8.38035e-05 6.76777e-05 0.000185946
4359.68 0.000140858 0.00018762 9.9684e-05 0.000160819
4364.95 0.000162704 0.000146178 8.85863e-05 0.000120358
4370.22 0.00011944 0.000117202 5.54076e-05 0.00014994
4375.5 8.4119e-05 0.000100335 0.000120624 7.0316e-05
4380.77 0.000180755 8.03142e-05 0.000110572 0.000150897
4386.04 8.26663e-05 0.000110447 0.000142871 8.08303e-05
4391.31 0.000172984 8.95322e-05 0.000141898 0.000174711
4396.58 8.04397e-05 0.000136995 0.000136014 0.000145428
4401.86 0.00011532 9.91883e-05 5.35226e-05 5.87623e-05
4407.13 0.00015389 9.67455e-05 0.000107651 0.00012051
4412.4 0.000138231 0.000118103 0.00010626 0.000120956
4417.67 0.000122528 8.73001e-05 0.000110886 8.78849e-05
4422.94 0.000128408 3.21347e-05 9.23596e-05 0.000118921
4428.22 0.000179236 0.000105332 0.000151945 0.00012273
4433.49 0.000111616 7.97414e-05 4.69455e-05 7.26349e-05
4438.76 6.34999e-05 9.47021e-05 0.000111697 0.000133655
4444.03 7.93499e-05 0.000100323 8.7936e-05 0.000160183
4449.3 0.000109859 5.10676e-05 0.000190298 0.000139717
4454.58 0.000109684 0.000112668 0.000171133 8.28766e-05
4459.85 0.000121219 9.46672e-05 9.40303e-05 8.55302e-05
4465.12 0.000155922 6.85552e-05 7.99783e-05 0.000143962
4470.39 0.000189118 0.000191244 0.000169162 7.75976e-05
4475.66 0.000148075 0.000108007 0.000126085 0.000110418
4480.94 0.000131038 0.000116442 0.000131275 9.76771e-05
4486.21 9.09166e-05 0.000156434 6.98558e-05 0.000111883
4491.48 9.95382e-05 5.28035e-05 9.1196e-05 8.49584e-05
