#  Table ccd.tab  Fri 15:08:38 04-Apr-97
#
#      WAVELENGTH      THROUGHPUT
#       angstroms                
#
         2193.263      0.01909197
          2195.74      0.01919832
         2198.219      0.01930501
         2200.702      0.01941469
         2203.187      0.01953147
         2205.676      0.01964862
         2208.167      0.01976613
          2210.66      0.01988412
         2213.157      0.02000284
         2215.656      0.02012191
         2218.158      0.02024134
         2220.664      0.02036124
         2223.171      0.02048178
         2225.682      0.02060268
         2228.196      0.02072392
         2230.712      0.02084563
         2233.231      0.02096795
         2235.755      0.02109068
         2238.278      0.02121362
         2240.806      0.02133707
         2243.337       0.0214611
          2245.87      0.02158546
         2248.408      0.02171022
         2250.948      0.02183721
         2253.488      0.02196755
         2256.033      0.02209835
         2258.581      0.02222949
         2261.133      0.02236127
         2263.687      0.02249367
         2266.241      0.02262621
         2268.803      0.02275934
         2271.363      0.02289287
         2273.928      0.02302714
         2276.499      0.02316186
         2279.067      0.02329664
         2281.643       0.0234325
          2284.22      0.02356882
           2286.8      0.02370545
         2289.382      0.02384238
         2291.965      0.02398019
         2294.556      0.02411877
         2297.147      0.02425753
         2299.742      0.02439659
         2302.339      0.02449372
         2304.939      0.02458638
         2307.542      0.02467922
         2310.148      0.02477223
         2312.757      0.02486498
         2315.369      0.02495792
         2317.984      0.02505105
         2320.602      0.02514425
         2323.222      0.02523736
         2325.846      0.02533063
         2328.473      0.02542409
         2331.102      0.02551761
         2333.735      0.02561115
         2336.371      0.02570485
         2339.009      0.02579872
         2341.651      0.02589267
         2344.295      0.02598673
         2346.943      0.02608094
         2349.593      0.02617531
         2352.247      0.02626744
         2354.903      0.02635927
         2357.563      0.02645126
         2360.225      0.02654338
         2362.891      0.02663561
         2365.559      0.02672798
          2368.23      0.02682048
         2370.905      0.02691314
         2373.583      0.02700596
         2376.263      0.02709891
         2378.947        0.027192
         2381.634      0.02728532
         2384.323      0.02737883
         2387.019      0.02747256
         2389.712      0.02756624
          2392.41      0.02766038
         2395.112      0.02775467
         2397.817      0.02784908
         2400.528       0.0279326
         2403.236       0.0279701
         2405.953      0.02800772
         2408.667      0.02804532
         2411.387      0.02808274
         2414.113         0.02812
         2416.837      0.02815723
         2419.569      0.02819459
         2422.302      0.02823162
         2425.036      0.02826861
         2427.776      0.02830569
         2430.515       0.0283427
         2433.261      0.02837954
          2436.01      0.02841642
          2438.76      0.02845332
         2441.516      0.02849019
         2444.273        0.028527
         2447.032      0.02856383
         2449.797      0.02860075
         2452.564      0.02864002
         2455.333      0.02867953
         2458.106      0.02871908
         2460.881      0.02875867
         2463.662      0.02879834
         2466.444      0.02883804
         2469.229      0.02887779
         2472.018      0.02891766
          2474.81       0.0289576
         2477.605      0.02899759
         2480.403      0.02903766
         2483.204      0.02907796
         2486.008       0.0291183
         2488.816      0.02915868
         2491.626      0.02919929
          2494.44      0.02924008
         2497.258      0.02928092
         2500.078       0.0293204
         2502.901      0.02931066
         2505.728      0.02930092
         2508.558      0.02929115
         2511.392      0.02928149
         2514.227      0.02927195
         2517.068      0.02926238
         2519.909      0.02925282
         2522.755      0.02924348
         2525.605      0.02923414
         2528.456      0.02922479
         2531.313      0.02921553
          2534.17       0.0292064
         2537.033      0.02919723
         2539.899      0.02918807
         2542.766       0.0291791
          2545.64      0.02917011
         2548.512      0.02916113
         2551.392       0.0291494
         2554.273      0.02913476
         2557.156      0.02912011
         2560.047      0.02910542
         2562.937      0.02909093
         2565.831      0.02907642
          2568.73      0.02906188
         2571.628      0.02904746
         2574.536      0.02903306
         2577.442      0.02901868
         2580.353      0.02900429
         2583.268      0.02899008
         2586.184      0.02897585
         2589.106       0.0289616
          2592.03      0.02894748
         2594.956       0.0289334
         2597.888      0.02891929
          2600.82      0.02891378
         2603.759      0.02893048
         2606.699      0.02894718
         2609.643       0.0289639
         2612.591       0.0289808
          2615.54      0.02899774
         2618.495      0.02901471
         2621.452      0.02903177
         2624.413      0.02904895
         2627.376      0.02906615
         2630.344      0.02908339
         2633.314      0.02910081
         2636.288      0.02911824
         2639.265      0.02913569
         2642.246      0.02915329
          2645.23      0.02917095
         2648.217      0.02918863
         2651.208      0.02920484
         2654.202      0.02921885
         2657.199      0.02923289
           2660.2      0.02924694
         2663.205      0.02926114
         2666.212      0.02927535
         2669.223      0.02928956
         2672.238       0.0293039
         2675.256      0.02931828
         2678.277      0.02933268
         2681.302      0.02934717
          2684.33      0.02936175
         2687.361      0.02937635
         2690.396      0.02939099
         2693.436      0.02940574
         2696.476      0.02942051
         2699.522       0.0294353
          2702.57      0.02947586
         2705.622      0.02952126
         2708.679      0.02956676
         2711.737      0.02961242
         2714.801      0.02965831
         2717.867      0.02970424
         2720.935      0.02975029
         2724.011      0.02979664
         2727.084      0.02984297
         2730.165      0.02988943
         2733.249      0.02993621
         2736.335      0.02998305
         2739.427      0.03002999
         2742.518      0.03007714
         2745.616      0.03012448
         2748.719      0.03017189
         2751.822       0.0302184
         2754.931      0.03026438
         2758.041      0.03031037
         2761.155      0.03035656
         2764.275      0.03040298
         2767.397      0.03044946
         2770.522      0.03049603
         2773.649      0.03054286
         2776.783      0.03058979
         2779.919      0.03063677
         2783.059      0.03068402
         2786.202      0.03073134
         2789.348      0.03077873
         2792.499      0.03082638
         2795.652      0.03087415
         2798.809      0.03092199
          2801.97      0.03101043
         2805.135      0.03112352
         2808.302      0.03123677
         2811.474      0.03135077
         2814.649       0.0314656
         2817.828       0.0315806
          2821.01      0.03169614
         2824.196      0.03181269
         2827.385      0.03192941
         2830.579      0.03204653
         2833.775      0.03216488
         2836.976      0.03228341
         2840.179      0.03240217
         2843.387       0.0325223
         2846.598      0.03264261
         2849.813      0.03276309
         2853.031      0.03288459
         2856.255      0.03300636
         2859.479      0.03312819
         2862.708      0.03325133
         2865.941      0.03337486
         2869.178      0.03349857
          2872.42      0.03362346
         2875.662      0.03374874
         2878.911      0.03387431
         2882.163      0.03400087
         2885.416      0.03412798
         2888.678      0.03425547
         2891.938      0.03438376
         2895.203      0.03451278
         2898.474      0.03464211
         2901.746      0.03480893
         2905.026      0.03500902
         2908.305       0.0352091
          2911.59      0.03541118
         2914.879      0.03561538
         2918.168      0.03581957
         2921.467      0.03602594
         2924.765      0.03623418
         2928.068      0.03644281
         2931.376      0.03665326
         2934.685      0.03686581
         2938.001      0.03707884
         2941.317      0.03729337
         2944.641      0.03751052
         2947.966      0.03772787
         2951.294      0.03794151
         2954.628      0.03814949
         2957.965      0.03835766
         2961.306      0.03856737
          2964.65      0.03877932
         2967.998      0.03899157
          2971.35       0.0392054
         2974.706      0.03942144
         2978.065      0.03963777
         2981.428      0.03985582
         2984.795      0.04007608
         2988.166      0.04029663
         2991.541      0.04051905
         2994.919       0.0407436
         2998.302      0.04096849
         3001.688      0.04116879
         3005.078      0.04134433
         3008.471       0.0415201
         3011.869      0.04169721
          3015.27      0.04187547
         3018.676      0.04205398
         3022.085      0.04223394
         3025.498       0.0424149
         3028.914      0.04259612
         3032.335      0.04277897
          3035.76      0.04296268
          3039.19      0.04314676
          3042.62      0.04333248
         3046.056      0.04351902
         3049.497      0.04370583
          3052.94      0.04388671
          3056.39      0.04406687
          3059.84      0.04424711
         3063.297      0.04442965
         3066.755      0.04461237
         3070.218      0.04479554
         3073.689        0.044981
         3077.157      0.04516636
         3080.634       0.0453526
         3084.113      0.04554062
         3087.596      0.04572892
         3091.084      0.04591818
         3094.572      0.04610881
          3098.07      0.04630005
         3101.567      0.04646666
          3105.07      0.04660318
         3108.578      0.04673994
         3112.087      0.04687736
         3115.604      0.04701551
         3119.122      0.04715377
         3122.645      0.04729299
         3126.171      0.04743264
           3129.7      0.04757242
         3133.236      0.04771347
         3136.775      0.04785472
         3140.317      0.04799627
         3143.864        0.048139
         3147.414      0.04828192
         3150.969      0.04842256
         3154.527      0.04855673
          3158.09      0.04869109
         3161.656      0.04882604
         3165.227      0.04896164
         3168.802      0.04909742
          3172.38      0.04923399
         3175.963      0.04937104
          3179.55      0.04950829
          3183.14      0.04964656
         3186.735      0.04978513
         3190.334      0.04992399
         3193.937      0.05006386
         3197.544      0.05020393
         3201.155      0.05035405
          3204.77      0.05052538
          3208.39      0.05069695
