Wavelength     Transmission   Atm. Trans    Tot. Trans.
(micron)       (fractional)   (fractional)  (fractional)
      73.0000    0.0192912     0.923396    0.0178134
      73.0500    0.0187755     0.925721    0.0173809
      73.1000    0.0182777     0.926661    0.0169373
      73.1500    0.0177987     0.927739    0.0165125
      73.2000    0.0173189     0.898127    0.0155546
      73.2500    0.0168449     0.926539    0.0156075
      73.3000    0.0163725     0.930688    0.0152377
      73.3500    0.0159044     0.931135    0.0148091
      73.4000    0.0154803     0.901053    0.0139486
      73.4500    0.0150548     0.928280    0.0139751
      73.5000    0.0146422     0.913766    0.0133795
      73.5500    0.0142522     0.906509    0.0129198
      73.6000    0.0138608     0.484895   0.00672104
      73.6500    0.0134625     0.875283    0.0117835
      73.7000    0.0130611     0.912023    0.0119120
      73.7500    0.0126612     0.900304    0.0113989
      73.8000    0.0123377     0.919032    0.0113388
      73.8500    0.0120214     0.914606    0.0109948
      73.9000    0.0117075     0.906987    0.0106186
      73.9500    0.0114092     0.687238   0.00784084
      74.0000    0.0111117     0.886723   0.00985297
      74.0500    0.0108005     0.878543   0.00948869
      74.1000    0.0104686     0.898515   0.00940617
      74.1500    0.0101391     0.893988   0.00906424
      74.2000   0.00983306     0.888252   0.00873423
      74.2500   0.00953989     0.850962   0.00811809
      74.3000   0.00924630     0.872760   0.00806980
      74.3500   0.00901263     0.856988   0.00772371
      74.4000   0.00878835     0.785005   0.00689890
      74.4500   0.00856481     0.825205   0.00706772
      74.5000   0.00835237     0.818642   0.00683761
      74.5500   0.00814096     0.735189   0.00598515
      74.6000   0.00793114     0.753032   0.00597240
      74.6500   0.00772540     0.746659   0.00576824
      74.7000   0.00752001     0.712337   0.00535678
      74.7500   0.00732416     0.659920   0.00483336
      74.8000   0.00713898     0.578727   0.00413152
      74.8500   0.00695278     0.428257   0.00297757
      74.9000   0.00677224     0.101537  0.000687631
      74.9500   0.00659488      0.00000      0.00000
      75.0000   0.00641744     0.123399  0.000791903
      75.0500   0.00624293     0.239296   0.00149391
      75.1000   0.00606889     0.189823   0.00115202
      75.1500   0.00589464     0.101286  0.000597044
      75.2000   0.00576474    0.0265680  0.000153157
      75.2500   0.00563480   0.00107777  6.07300e-06
      75.3000   0.00550359      0.00000      0.00000
      75.3500   0.00536395      0.00000      0.00000
      75.4000   0.00522565      0.00000      0.00000
      75.4500   0.00508505      0.00000      0.00000
