ID      x    y   RA(m:s)  Dec(m:s)   mt  mi     U-B   B-V   V-I    S/N   area  r1(")   b/a   PA  Flags
4-104.0         1606.0  292.0 36:50.069 12:06.17  27.58  27.76  >0.32   0.49   0.09  16.09   0.26  0.17   0.76   57          S
4-105.0         1137.0  305.0 36:48.961 12:23.17  28.75  28.89  >0.12   0.16  -0.12   9.12   0.08  0.10   0.63  109          S
4-106.0         2008.0  301.0 36:50.912 11:51.28  27.21  27.33  >0.83   0.29  -0.03  17.61   0.17  0.12   0.85   97          S
4-107.0          704.0  291.0 36:48.074 12:39.28  26.57  26.76  -0.28   0.24   0.67  24.77   0.87  0.37   0.55   34          S
4-108.0          870.0  314.0 36:48.321 12:32.83  28.68  28.83  >0.32  -0.11   0.04   8.64   0.14  0.25   0.20   65          S
4-109.0         1423.0  305.0 36:49.595 12:12.68  25.19  25.24   1.42   0.17   0.07  91.95   0.64  0.17   0.65   92          S
4-110.0         1824.0  315.0 36:50.431 11:57.81  28.16  28.21  >0.32   0.45  -0.10  13.48   0.14  0.11   0.83   92          S
4-111.0         1047.0  322.0 36:48.672 12:26.21  28.62  28.76  >0.37  -0.07   0.08  11.09   0.09  0.09   0.72  108          S
4-112.0         1874.0  319.0 36:50.521 11:55.92  29.45  29.87    ...  >0.36  -0.14   4.81   0.05  0.10   0.43   89          S
4-113.0          443.0  322.0 36:47.332 12:48.37  28.81  29.03 >-0.31   0.46  -0.10   7.99   0.08  0.09   0.61  132          S
4-114.0          197.0  323.0 36:46.781 12:57.38  29.02  29.14  -0.37  -0.04   0.46   8.33   0.11  0.11   0.63   24          S
4-115.0          294.0  323.0 36:46.997 12:53.82 >30.70 >30.70    ...    ...  >1.18   3.81   0.05  0.10   0.66   66          S
4-116.0         1656.0  327.0 36:49.996 12:03.79  29.24  29.74 >-0.05  -0.31   0.39   5.75   0.06  0.08   0.92  145          S
4-117.0          167.0  327.0 36:46.694 12:58.42  28.85  29.09  -0.59   0.05   0.04   7.19   0.08  0.09   0.93  170          S
4-118.0         1474.0  319.0 36:49.634 12:10.59  27.16  27.28  >0.66   0.59   0.17  24.64   0.27  0.18   0.51   43          S
4-119.0         1432.0  325.0 36:49.510 12:12.04  27.94  28.09  -0.15   0.00   0.23  16.54   0.14  0.11   0.85   59          S
4-120.0         1194.0  319.0 36:49.014 12:20.86  23.19  23.22   0.34   0.34   0.77 278.00   3.36  0.61   0.61   44         FS
4-121.0         1166.0  333.0 36:48.878 12:21.67  29.85  30.16    ... >-0.01   0.49   4.09   0.06  0.17   0.34   67          S
4-122.0         1014.0  327.0 36:48.572 12:27.34  27.15  27.31   0.16   0.00   0.14  19.12   0.36  0.30   0.31    1          S
4-123.0         1615.0  335.0 36:49.863 12:05.17  27.45  27.47  >0.64   0.39   0.07  19.35   0.27  0.19   0.45   29          S
4-124.0         1317.0  338.0 36:49.186 12:16.06  28.65  28.93 >-0.29   0.41  -0.13   8.72   0.10  0.10   0.64    1          S
4-125.0          691.0  341.0 36:47.783 12:38.98  29.68  29.61  -0.61   0.11   0.75   7.22   0.07  0.10   0.72  117          S
4-126.0         1988.0  343.0 36:50.647 11:51.36  27.42  27.48  >0.32   0.67   0.11  17.83   0.23  0.14   0.81   26          S
4-127.0         1841.0  342.0 36:50.327 11:56.77  28.70  29.06 >-0.50   0.35   0.89   8.52   0.14  0.14   0.43   47          S
4-128.0         1201.0  348.0 36:48.877 12:20.16  28.07  28.27  >0.33   0.30  -0.20  11.78   0.14  0.13   0.49  171          S
4-129.0         1627.0  342.0 36:49.853 12:04.62  28.91  29.33    ...  >0.52   0.73   7.15   0.12  0.26   0.31    3          S
