# K short	G0205
# scanned warm
# Wavelength (nm)	%T
2856	0.023742
2855	0.020538
2854	0.015113
2853	0.013811
2852	0.017047
2851	0.022439
2850	0.015569
2849	0.017566
2848	0.021135
2847	0.015027
2846	0.015383
2845	0.019891
2844	0.0098624
2843	0.01534
2842	0.010619
2841	0.018882
2840	0.016317
2839	0.014806
2838	0.018157
2837	0.019849
2836	0.013598
2835	0.014842
2834	0.011957
2833	0.013321
2832	0.020762
2831	0.011396
2830	0.016664
2829	0.02068
2828	0.014462
2827	0.011215
2826	0.011955
2825	0.020488
2824	0.014232
2823	0.013625
2822	0.012525
2821	0.018364
2820	0.017525
2819	0.013211
2818	0.013946
2817	0.013462
2816	0.013053
2815	0.010831
2814	0.0083974
2813	0.013893
2812	0.011982
2811	0.011456
2810	0.013379
2809	0.0083348
2808	0.012966
2807	0.015047
2806	0.014928
2805	0.016642
2804	0.010116
2803	0.017186
2802	0.0072663
2801	0.01381
2800	0.016159
2799	0.017788
2798	0.0081274
2797	0.012851
2796	0.020484
2795	0.0097871
2794	0.015875
2793	0.014166
2792	0.017344
2791	0.0088297
2790	0.011139
2789	0.013645
2788	0.010271
2787	0.0089665
2786	0.014232
2785	0.012416
2784	0.013948
2783	0.015327
2782	0.010596
2781	0.016441
2780	0.010556
2779	0.013923
2778	0.012299
2777	0.010714
2776	0.010397
2775	0.012935
2774	0.01584
2773	0.014987
2772	0.010475
2771	0.012858
2770	0.012881
2769	0.013429
2768	0.011681
2767	0.013023
2766	0.0087631
2765	0.012178
2764	0.015972
2763	0.0097517
2762	0.014299
2761	0.012985
2760	0.011139
2759	0.008349
2758	0.012827
2757	0.017282
2756	0.01325
2755	0.013164
2754	0.0089902
2753	0.016503
2752	0.012122
2751	0.013602
2750	0.0056953
2749	0.014486
2748	0.015605
2747	0.015019
2746	0.014196
2745	0.014642
2744	0.0088022
2743	0.016163
2742	0.014831
2741	0.013799
2740	0.010047
2739	0.0051996
2738	0.0156
2737	0.013598
2736	0.015316
2735	0.011177
2734	0.016219
2733	0.0077037
2732	0.010475
2731	0.017507
2730	0.012255
2729	0.014228
2728	0.014269
2727	0.0073698
2726	0.018506
2725	0.013658
2724	0.010086
2723	0.012915
2722	0.0097404
2721	0.014986
2720	0.011902
2719	0.01503
2718	0.0095468
2717	0.010594
2716	0.0047741
2715	0.013531
2714	0.016385
2713	0.016575
2712	0.0090929
2711	0.016212
2710	0.011083
2709	0.017663
2708	0.017607
2707	0.0127
2706	0.0085307
2705	0.014118
2704	0.012256
2703	0.013665
2702	0.013177
2701	0.0082642
2700	0.013461
2699	0.0093148
2698	0.0095723
2697	0.014027
2696	0.014968
2695	0.018098
2694	0.015224
2693	0.0082801
2692	0.011095
2691	0.0098614
2690	0.011815
2689	0.01373
2688	0.018171
2687	0.012439
2686	0.01536
2685	0.011243
2684	0.01011
2683	0.011607
2682	0.017807
2681	0.010892
2680	0.017789
2679	0.009654
2678	0.01217
2677	0.013228
2676	0.011952
2675	0.012787
2674	0.013313
2673	0.013631
2672	0.0093332
2671	0.016359
2670	0.016558
2669	0.013756
2668	0.010022
2667	0.013998
2666	0.013198
2665	0.01451
2664	0.0087755
2663	0.010316
2662	0.016122
2661	0.010115
2660	0.013042
2659	0.010473
2658	0.0138
2657	0.012164
2656	0.011756
2655	0.013475
2654	0.011822
2653	0.0082796
2652	0.012273
2651	0.01377
2650	0.014322
2649	0.011109
2648	0.013903
2647	0.0082265
2646	0.0099539
2645	0.0090572
2644	0.0065426
