LRIS B FILTER, printed from ~mhc/keck/filters/filter_b.spc  
by mhc 9/8/97.


Column     Wavelength      Value
     339     4541.6201       6.40019119E-01
     340     4544.1099       6.36434972E-01
     341     4546.6001       6.32044971E-01
     342     4549.0898       6.31456375E-01
     343     4551.5801       6.38162374E-01
     344     4554.0698       6.31970644E-01
     345     4556.5601       6.27531648E-01
     346     4559.0498       6.26564145E-01
     347     4561.5400       6.23233318E-01
     348     4564.0298       6.26908898E-01
     349     4566.5200       6.22536063E-01
     350     4569.0098       6.20958328E-01
     351     4571.5000       6.18777275E-01
     352     4573.9902       6.20776892E-01
     353     4576.4800       6.21151149E-01
     354     4578.9702       6.16789579E-01
     355     4581.4600       6.14131093E-01
     356     4583.9502       6.15010262E-01
     357     4586.4399       6.11427069E-01
     358     4588.9302       6.10865235E-01
     359     4591.4199       6.08229101E-01
     360     4593.9102       6.06510878E-01
     361     4596.3999       6.02982581E-01
     362     4598.8901       5.95912516E-01
     363     4601.3799       5.96567869E-01
     364     4603.8701       5.95865846E-01
     365     4606.3599       5.91330945E-01
     366     4608.8501       5.92748165E-01
     367     4611.3398       5.88531017E-01
     368     4613.8301       5.85182309E-01
     369     4616.3198       5.83026826E-01
     370     4618.8101       5.78349233E-01
     371     4621.2998       5.76696396E-01
     372     4623.7900       5.73743939E-01
     373     4626.2798       5.73846221E-01
     374     4628.7700       5.70852399E-01
     375     4631.2598       5.64687610E-01
     376     4633.7500       5.64851463E-01
     377     4636.2402       5.57478845E-01
     378     4638.7300       5.62191844E-01
     379     4641.2202       5.56788504E-01
     380     4643.7100       5.46364546E-01
     381     4646.2002       5.48630059E-01
     382     4648.6899       5.45759797E-01
     383     4651.1802       5.42861938E-01
     384     4653.6699       5.36834836E-01
     385     4656.1602       5.35706222E-01
     386     4658.6499       5.30465961E-01
     387     4661.1401       5.30530930E-01
     388     4663.6299       5.25839090E-01
     389     4666.1201       5.22241473E-01
     390     4668.6099       5.15289485E-01
     391     4671.1001       5.13893902E-01
     392     4673.5898       5.09980440E-01
     393     4676.0801       5.07034123E-01
     394     4678.5698       5.01901865E-01
     395     4681.0601       5.00924826E-01
     396     4683.5498       4.98330563E-01
     397     4686.0400       4.93991494E-01
     398     4688.5298       4.90792453E-01
     399     4691.0200       4.85243976E-01
     400     4693.5098       4.81734037E-01
     401     4696.0000       4.80076849E-01
     402     4698.4902       4.78749871E-01
     403     4700.9800       4.73703951E-01
     404     4703.4702       4.67367768E-01
     405     4705.9600       4.64750230E-01
     406     4708.4502       4.63672757E-01
     407     4710.9399       4.58639741E-01
     408     4713.4302       4.53544736E-01
     409     4715.9199       4.50052083E-01
     410     4718.4102       4.48581517E-01
     411     4720.8999       4.44242835E-01
     412     4723.3901       4.40978229E-01
     413     4725.8799       4.34675455E-01
     414     4728.3701       4.33863580E-01
     415     4730.8599       4.29856628E-01
     416     4733.3501       4.25625622E-01
     417     4735.8398       4.25117373E-01
     418     4738.3301       4.18506861E-01
     419     4740.8198       4.14804101E-01
     420     4743.3101       4.11500931E-01
     421     4745.7998       4.06374097E-01
     422     4748.2900       4.05494094E-01
     423     4750.7798       3.99923235E-01
     424     4753.2700       3.97918373E-01
     425     4755.7598       3.94194365E-01
     426     4758.2500       3.87681812E-01
     427     4760.7402       3.86106104E-01
     428     4763.2300       3.80950391E-01
     429     4765.7202       3.77618849E-01
     430     4768.2100       3.74038070E-01
     431     4770.7002       3.70232493E-01
     432     4773.1899       3.66635263E-01
     433     4775.6802       3.62089813E-01
     434     4778.1699       3.56461346E-01
     435     4780.6602       3.54343146E-01
     436     4783.1499       3.50315243E-01
     437     4785.6401       3.46888304E-01
     438     4788.1299       3.43849957E-01
     439     4790.6201       3.40227544E-01
     440     4793.1099       3.35296094E-01
     441     4795.6001       3.33821625E-01
     442     4798.0898       3.29278767E-01
     443     4800.5801       3.22600722E-01
     444     4803.0698       3.21080685E-01
     445     4805.5601       3.16567540E-01
     446     4808.0498       3.13718051E-01
     447     4810.5400       3.08531433E-01
     448     4813.0298       3.06934178E-01
     449     4815.5200       3.02030981E-01
     450     4818.0098       2.99741566E-01
     451     4820.5000       2.94684261E-01
     452     4822.9902       2.91025639E-01
     453     4825.4800       2.89467812E-01
     454     4827.9702       2.84832835E-01
     455     4830.4600       2.83167720E-01
     456     4832.9502       2.77552515E-01
     457     4835.4399       2.73038805E-01
     458     4837.9302       2.70710170E-01
     459     4840.4199       2.68923670E-01
     460     4842.9102       2.63858020E-01
     461     4845.3999       2.61564910E-01
     462     4847.8901       2.59237707E-01
     463     4850.3799       2.56037235E-01
     464     4852.8701       2.50082791E-01
     465     4855.3599       2.49237955E-01
     466     4857.8501       2.44008720E-01
     467     4860.3398       2.41092980E-01
     468     4862.8301       2.38766700E-01
     469     4865.3198       2.37673730E-01
     470     4867.8101       2.35131562E-01
     471     4870.2998       2.29327112E-01
     472     4872.7900       2.26221830E-01
     473     4875.2798       2.24985912E-01
     474     4877.7700       2.20671043E-01
     475     4880.2598       2.17373312E-01
     476     4882.7500       2.16204360E-01
     477     4885.2402       2.12529764E-01
     478     4887.7300       2.12055326E-01
     479     4890.2202       2.07215726E-01
     480     4892.7100       2.03044429E-01
     481     4895.2002       2.02379018E-01
     482     4897.6899       2.00194359E-01
     483     4900.1802       1.98895782E-01
     484     4902.6699       1.93877965E-01
     485     4905.1602       1.94025069E-01
     486     4907.6499       1.90719560E-01
     487     4910.1401       1.89046860E-01
     488     4912.6299       1.85447484E-01
     489     4915.1201       1.82201236E-01
     490     4917.6099       1.81293637E-01
     491     4920.1001       1.78302780E-01
     492     4922.5898       1.77864671E-01
     493     4925.0801       1.74366564E-01
     494     4927.5698       1.73139513E-01
     495     4930.0601       1.71889961E-01
     496     4932.5498       1.68539613E-01
     497     4935.0400       1.67595550E-01
     498     4937.5298       1.63913012E-01
     499     4940.0200       1.61892310E-01
     500     4942.5098       1.60904229E-01
     501     4945.0000       1.58690304E-01
     502     4947.4902       1.57032803E-01
     503     4949.9800       1.55096740E-01
     504     4952.4702       1.54170886E-01
     505     4954.9600       1.51650310E-01
     506     4957.4502       1.50138259E-01
     507     4959.9399       1.47760972E-01
     508     4962.4302       1.46327764E-01
     509     4964.9199       1.45582527E-01
     510     4967.4102       1.42046481E-01
     511     4969.8999       1.42081201E-01
     512     4972.3901       1.40070498E-01
     513     4974.8799       1.37781590E-01
     514     4977.3701       1.36133164E-01
     515     4979.8599       1.34419769E-01
     516     4982.3501       1.32335991E-01
     517     4984.8398       1.29699036E-01
     518     4987.3301       1.28963321E-01
     519     4989.8198       1.26061469E-01
     520     4992.3101       1.24422297E-01
     521     4994.7998       1.21985465E-01
     522     4997.2900       1.21000059E-01
     523     4999.7798       1.17816709E-01
     524     5002.2700       1.15846083E-01
     525     5004.7598       1.14321001E-01
     526     5007.2500       1.11676306E-01
     527     5009.7402       1.10571757E-01
     528     5012.2300       1.08863123E-01
     529     5014.7202       1.06631219E-01
     530     5017.2100       1.04820453E-01
     531     5019.7002       1.02192037E-01
     532     5022.1899       1.00179940E-01
     533     5024.6802       9.90767181E-02
     534     5027.1699       9.60716307E-02
     535     5029.6602       9.43344533E-02
     536     5032.1499       9.30185467E-02
     537     5034.6401       9.16219726E-02
     538     5037.1299       8.95123407E-02
     539     5039.6201       8.69631916E-02
     540     5042.1099       8.46418291E-02
     541     5044.6001       8.38866532E-02
     542     5047.0898       8.13130140E-02
     543     5049.5801       8.06961209E-02
     544     5052.0698       7.81439692E-02
     545     5054.5601       7.70954043E-02
     546     5057.0498       7.54868686E-02
     547     5059.5400       7.36671239E-02
     548     5062.0298       7.25464225E-02
     549     5064.5200       7.08124340E-02
     550     5067.0098       7.00717345E-02
     551     5069.5000       6.89739585E-02
     552     5071.9902       6.75717890E-02
     553     5074.4800       6.58445954E-02
     554     5076.9702       6.41074628E-02
     555     5079.4600       6.27199039E-02
     556     5081.9502       6.19191155E-02
     557     5084.4399       6.08087890E-02
     558     5086.9302       5.93470857E-02
     559     5089.4199       5.88551462E-02
     560     5091.9102       5.73657081E-02
     561     5094.3999       5.57310991E-02
     562     5096.8901       5.47455698E-02
     563     5099.3799       5.32694794E-02
     564     5101.8701       5.30931987E-02
     565     5104.3599       5.21667898E-02
     566     5106.8501       5.10338917E-02
     567     5109.3398       4.96996045E-02
     568     5111.8301       4.88089919E-02
     569     5114.3198       4.73388843E-02
     570     5116.8101       4.67066094E-02
     571     5119.2998       4.56103608E-02
     572     5121.7900       4.44097668E-02
     573     5124.2798       4.36931215E-02
     574     5126.7700       4.31397371E-02
     575     5129.2598       4.14467119E-02
     576     5131.7500       4.08305898E-02
     577     5134.2402       4.01640460E-02
     578     5136.7300       3.90773267E-02
     579     5139.2202       3.80001552E-02
     580     5141.7100       3.69274169E-02
     581     5144.2002       3.64060141E-02
     582     5146.6899       3.49362865E-02
     583     5149.1802       3.45033444E-02
     584     5151.6699       3.35073099E-02
     585     5154.1602       3.24717388E-02
     586     5156.6499       3.22299004E-02
     587     5159.1401       3.14209126E-02
     588     5161.6299       3.09845284E-02
     589     5164.1201       3.02327722E-02
     590     5166.6099       2.90991552E-02
     591     5169.1001       2.89851110E-02
     592     5171.5898       2.81053744E-02
     593     5174.0801       2.70132981E-02
     594     5176.5698       2.61041485E-02
     595     5179.0601       2.60327235E-02
     596     5181.5498       2.46840138E-02
     597     5184.0400       2.44975276E-02
     598     5186.5298       2.40403265E-02
     599     5189.0200       2.31083184E-02
     600     5191.5098       2.22435221E-02
     601     5194.0000       2.13723965E-02
     602     5196.4902       2.11586356E-02
     603     5198.9800       2.04775799E-02
     604     5201.4702       2.05414277E-02
     605     5203.9600       1.95794180E-02
     606     5206.4502       1.89561993E-02
     607     5208.9399       1.85530782E-02
     608     5211.4302       1.80870891E-02
     609     5213.9199       1.75140314E-02
     610     5216.4102       1.68759972E-02
     611     5218.8999       1.62671190E-02
     612     5221.3901       1.56325195E-02
     613     5223.8799       1.52649507E-02
     614     5226.3701       1.49761559E-02
     615     5228.8599       1.46218194E-02
     616     5231.3501       1.41527429E-02
     617     5233.8398       1.36964684E-02
     618     5236.3301       1.36394640E-02
     619     5238.8198       1.34214442E-02
     620     5241.3101       1.26511520E-02
     621     5243.7998       1.23837749E-02
     622     5246.2900       1.18231280E-02
     623     5248.7798       1.19428970E-02
     624     5251.2700       1.14456508E-02
     625     5253.7598       1.12691792E-02
     626     5256.2500       1.09430961E-02
     627     5258.7402       1.04501499E-02
     628     5261.2300       1.05171986E-02
     629     5263.7202       9.91252810E-03
     630     5266.2100       9.61768627E-03
     631     5268.7002       9.40074958E-03
     632     5271.1899       9.12915915E-03
     633     5273.6802       8.93075392E-03
     634     5276.1699       8.73321667E-03
     635     5278.6602       8.40778090E-03
     636     5281.1499       8.46525468E-03
     637     5283.6401       8.22107121E-03
     638     5286.1299       8.04705266E-03
     639     5288.6201       7.79138785E-03
     640     5291.1099       7.83824269E-03
     641     5293.6001       7.59817660E-03
     642     5296.0898       7.27057364E-03
     643     5298.5801       7.22669810E-03
     644     5301.0698       7.12587545E-03
     645     5303.5601       6.82014786E-03
     646     5306.0498       6.92785112E-03
     647     5308.5400       6.66445913E-03
     648     5311.0298       6.49483409E-03
     649     5313.5200       6.58581825E-03
     650     5316.0098       6.14627125E-03
     651     5318.5000       6.27561752E-03
     652     5320.9902       6.08761609E-03
     653     5323.4800       5.82459522E-03
     654     5325.9702       5.72789460E-03
     655     5328.4600       5.76920528E-03
     656     5330.9502       5.82780549E-03
     657     5333.4399       5.57039771E-03
     658     5335.9302       5.31249866E-03
     659     5338.4199       5.59720723E-03
     660     5340.9102       5.21077123E-03
     661     5343.3999       5.16529009E-03
     662     5345.8901       5.28949779E-03
     663     5348.3799       5.30256284E-03
     664     5350.8701       5.16128261E-03
     665     5353.3599       4.92152292E-03
     666     5355.8501       5.10575669E-03
     667     5358.3398       4.99506202E-03
     668     5360.8301       4.89140488E-03
     669     5363.3198       5.07056993E-03
     670     5365.8101       5.03882859E-03
     671     5368.2998       4.93672956E-03
     672     5370.7900       4.85776551E-03
     673     5373.2798       4.74854279E-03
     674     5375.7700       4.67534363E-03
     675     5378.2598       4.76119388E-03
     676     5380.7500       4.59816447E-03
     677     5383.2402       4.66948096E-03
     678     5385.7300       4.56132740E-03
     679     5388.2202       4.67180833E-03
     680     5390.7100       4.63424623E-03
     681     5393.2002       4.55529010E-03
     682     5395.6899       4.62290365E-03
     683     5398.1802       4.44204174E-03
     684     5400.6699       4.65293508E-03
     685     5403.1602       4.57343925E-03
     686     5405.6499       4.71777376E-03
     687     5408.1401       4.46631294E-03
     688     5410.6299       4.51736944E-03
     689     5413.1201       4.47057839E-03
     690     5415.6099       4.51937038E-03
     691     5418.1001       4.53208154E-03
     692     5420.5898       4.62347735E-03
     693     5423.0801       4.58560977E-03
     694     5425.5698       4.61457623E-03
     695     5428.0601       4.64652199E-03
     696     5430.5498       4.69726138E-03
     697     5433.0400       4.78574494E-03
     698     5435.5298       4.85273637E-03
     699     5438.0200       4.80409991E-03
     700     5440.5098       4.83653974E-03
     701     5443.0000       4.93691955E-03
     702     5445.4902       4.84327087E-03
     703     5447.9800       4.90413466E-03
     704     5450.4702       5.09937899E-03
     705     5452.9600       4.98907641E-03
     706     5455.4502       5.09714382E-03
     707     5457.9399       5.12841437E-03
     708     5460.4302       5.35197929E-03
     709     5462.9199       5.38525078E-03
     710     5465.4102       5.48306294E-03
     711     5467.8999       5.53312153E-03
     712     5470.3901       5.60376421E-03
     713     5472.8799       5.57331182E-03
     714     5475.3701       5.82104176E-03
     715     5477.8599       5.81495184E-03
     716     5480.3501       5.93252201E-03
     717     5482.8398       6.18624687E-03
     718     5485.3301       6.35876320E-03
     719     5487.8198       6.35261368E-03
     720     5490.3101       6.51307637E-03
     721     5492.7998       6.44338131E-03
     722     5495.2900       6.58873469E-03
     723     5497.7798       6.74858410E-03
     724     5500.2700       6.73814397E-03
     725     5502.7598       6.92808395E-03
     726     5505.2500       7.13368924E-03
     727     5507.7402       7.00509828E-03
     728     5510.2300       7.23894499E-03
     729     5512.7202       7.27065466E-03
     730     5515.2100       7.56149739E-03
     731     5517.7002       7.50180054E-03
     732     5520.1899       7.71153159E-03
     733     5522.6802       7.92527013E-03
     734     5525.1699       8.00716411E-03
     735     5527.6602       7.89459236E-03
     736     5530.1499       8.32655840E-03
     737     5532.6401       8.23231600E-03
     738     5535.1299       8.47749971E-03
     739     5537.6201       8.56134109E-03
     740     5540.1099       8.68248567E-03
     741     5542.6001       8.62950087E-03
     742     5545.0898       8.83860607E-03
     743     5547.5801       8.78860336E-03
     744     5550.0698       8.91228206E-03
     745     5552.5601       9.05319490E-03
     746     5555.0498       9.02765244E-03
     747     5557.5400       9.47376527E-03
     748     5560.0298       9.13249329E-03
     749     5562.5200       9.28864256E-03
     750     5565.0098       9.35081020E-03
     751     5567.5000       9.24040005E-03
     752     5569.9902       9.21978615E-03
     753     5572.4800       9.40516498E-03
     754     5574.9702       9.27612744E-03
     755     5577.4600       9.31337010E-03
     756     5579.9502       9.43275169E-03
     757     5582.4399       9.35586169E-03
     758     5584.9302       9.23650898E-03
     759     5587.4199       9.45537630E-03
     760     5589.9102       9.16319527E-03
     761     5592.3999       9.06648673E-03
     762     5594.8901       9.20468941E-03
     763     5597.3799       9.25474055E-03
     764     5599.8701       9.08564311E-03
