# lambda       B1            B2          B3           B4
#
  4591.7   0.26017100   0.26716000   0.24863800   0.27945800 
  4596.9   0.26061300   0.26780400   0.24847100   0.27971500 
  4602.2   0.26071700   0.26799800   0.24784500   0.27948400 
  4607.5   0.26119800   0.26850100   0.24745200   0.27954600 
  4612.7   0.26169800   0.26891900   0.24693000   0.27949400 
  4618.0   0.26185400   0.26885600   0.24626600   0.27891900 
  4623.3   0.26238300   0.26907000   0.24509900   0.27859900 
  4628.6   0.26255900   0.26877700   0.24411400   0.27772800 
  4633.8   0.26310200   0.26873500   0.24294500   0.27708000 
  4639.1   0.26364200   0.26854300   0.24123100   0.27624100 
  4644.4   0.26380700   0.26779700   0.23964700   0.27480100 
  4649.6   0.26431700   0.26725300   0.23782800   0.27352400 
  4654.9   0.26479600   0.26650400   0.23575200   0.27199300 
  4660.2   0.26486200   0.26514600   0.23306500   0.26979900 
  4665.5   0.26523600   0.26392400   0.23041400   0.26768800 
  4670.7   0.26516200   0.26204900   0.22743900   0.26486700 
  4676.0   0.26535800   0.26025800   0.22411200   0.26206400 
  4681.3   0.26543200   0.25814000   0.22008800   0.25886600 
  4686.6   0.26498800   0.25529300   0.21597600   0.25487000 
  4691.8   0.26473500   0.25243100   0.21142200   0.25077600 
  4697.1   0.26427100   0.24914600   0.20639200   0.24617200 
  4702.4   0.26319100   0.24504100   0.20055900   0.24066700 
  4707.6   0.26219000   0.24079800   0.19447100   0.23491500 
  4712.9   0.26085400   0.23601200   0.18779000   0.22851200 
  4718.2   0.25876900   0.23029900   0.18047200   0.22108400 
  4723.4   0.25660900   0.22429500   0.17221800   0.21322500 
  4728.7   0.25359200   0.21728300   0.16349200   0.20424600 
  4734.0   0.25036600   0.20985600   0.15397900   0.19468700 
  4739.3   0.24650100   0.20162800   0.14341400   0.18417000 
  4744.5   0.24157500   0.19225300   0.13217000   0.17237100 
  4749.8   0.23619000   0.18224500   0.11996100   0.15972800 
  4755.1   0.22990600   0.17123700   0.10672000   0.14588900 
  4760.4   0.22230700   0.15891900   0.09224040   0.13057500 
  4765.6   0.21392200   0.14570000   0.07673940   0.11409300 
  4770.9   0.20430900   0.13124400   0.05998210   0.09613160 
  4776.2   0.19306500   0.11529000   0.05308640   0.07647000 
  4781.4   0.18061600   0.09811080   0.04190540   0.06932200 
  4786.7   0.16628800   0.07929390   0.03019090   0.05725540 
  4792.0   0.15041700   0.05899840   0.01801600   0.04439370 
  4797.3   0.13257500   0.03696710   0.01278220   0.03015030 
  4802.5   0.11241700   0.02320480   0.00947194   0.01478900 
  4807.8   0.09009990   0.01717790   0.00696668   0.01139350 
  4813.1   0.06522400   0.01280950   0.00512825   0.00849745 
  4818.4   0.03751140   0.00958052   0.00378848   0.00611842 
  4823.6   0.02485030   0.00692337   0.00280237   0.00420938 
  4828.9   0.01804240   0.00486684   0.00196663   0.00302221 
  4834.2   0.01268150   0.00363790   0.00163628   0.00225859 
  4839.4   0.00944779   0.00272426   0.00117660   0.00150299 
  4844.7   0.00705234   0.00181248   0.00100823   0.00119989 
  4850.0   0.00475867   0.00144791   0.00074394   0.00075128 
  4855.2   0.00341008   0.00115643   0.00051797   0.00070792 
  4860.5   0.00237540   0.00086776   0.00047598   0.00057489 
  4865.8   0.00165753   0.00075880   0.00037825   0.00052044 
  4871.1   0.00139001   0.00069800   0.00039533   0.00045698 
  4876.3   0.00115111   0.00055104   0.00038829   0.00034619 
  4881.6   0.00085488   0.00041452   0.00024851   0.00033637 
  4886.9   0.00069739   0.00039776   0.00035023   0.00028275 
  4892.2   0.00060423   0.00032918   0.00027158   0.00026062 
  4897.4   0.00056593   0.00031067   0.00026292   0.00026073 
  4902.7   0.00040886   0.00027605   0.00018672   0.00019023 
  4908.0   0.00038243   0.00027983   0.00014019   0.00026592 
  4913.2   0.00043231   0.00025158   0.00013051   0.00025974 
  4918.5   0.00040076   0.00021413   0.00019327   0.00020003 
  4923.8   0.00027989   0.00023978   0.00020906   0.00015149 
  4929.1   0.00022623   0.00021129   0.00016222   0.00015734 
  4934.3   0.00035051   0.00020094   0.00012612   0.00010344 
  4939.6   0.00031710   0.00021664   0.00013071   0.00013465 
  4944.9   0.00024549   0.00020630   0.00015804   0.00016819 
  4950.2   0.00024277   0.00013390   0.00014993   0.00013775 
  4955.4   0.00021917   0.00021122   0.00015645   0.00012571 
  4960.7   0.00019364   0.00018650   0.00014293   0.00015792 
  4966.0   0.00012949   0.00019256   0.00012312   0.00009480 
  4971.2   0.00020050   0.00017425   0.00010264   0.00013878 
  4976.5   0.00013269   0.00019722   0.00012954   0.00013144 
  4981.8   0.00019101   0.00016893   0.00011750   0.00015508 
  4987.1   0.00013671   0.00011759   0.00012589   0.00008848 
  4992.3   0.00020099   0.00012252   0.00016976   0.00012348 
  4997.6   0.00011490   0.00016264   0.00013080   0.00012191 
  5002.9   0.00016381   0.00014809   0.00011044   0.00011519 
  5008.1   0.00017019   0.00012935   0.00013626   0.00016582 
  5013.4   0.00019397   0.00013083   0.00015363   0.00014592 
  5018.7   0.00020673   0.00011856   0.00015810   0.00012150 
  5024.0   0.00011227   0.00014092   0.00015760   0.00007383 
  5029.2   0.00016224   0.00013111   0.00019505   0.00009686 
  5034.5   0.00011497   0.00014727   0.00012887   0.00010304 
  5039.8   0.00018941   0.00015357   0.00011547   0.00009203 
  5045.0   0.00012506   0.00010664   0.00012235   0.00010439 
  5050.3   0.00021706   0.00011813   0.00012626   0.00012405 
  5055.6   0.00018112   0.00011788   0.00011150   0.00008945 
  5060.9   0.00003670   0.00009457   0.00008206   0.00013643 
  5066.1   0.00012455   0.00012933   0.00011428   0.00007754 
  5071.4   0.00017441   0.00016044   0.00016774   0.00009026 
  5076.7   0.00016221   0.00014811   0.00021665   0.00012698 
  5081.9   0.00009550   0.00015087   0.00013138   0.00008200 
  5087.2   0.00013673   0.00015035   0.00008048   0.00010931 
  5092.5   0.00021493   0.00011129   0.00016431   0.00015413 
  5097.8   0.00014487   0.00010491   0.00013296   0.00009896 
  5103.0   0.00015343   0.00009737   0.00011249   0.00004891 
  5108.3   0.00019084   0.00017878   0.00008608   0.00014698 
  5113.6   0.00020017   0.00014824   0.00011368   0.00012443 
  5118.9   0.00014570   0.00016168   0.00011468   0.00012721 
  5124.1   0.00011843   0.00019813   0.00014975   0.00009342 
  5129.4   0.00012973   0.00014084   0.00011549   0.00014528 
