         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 3.000E-01 1.000E+05 2.800E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.750E-01 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 1.600E+02  5.098E-25  2.163E-38
 1.585E+02  5.126E-25  2.155E-38
 1.570E+02  5.153E-25  2.146E-38
 1.556E+02  5.180E-25  2.138E-38
 1.542E+02  5.206E-25  2.129E-38
 1.528E+02  5.231E-25  2.120E-38
 1.514E+02  5.257E-25  2.110E-38
 1.500E+02  5.281E-25  2.101E-38
 1.486E+02  5.303E-25  2.090E-38
 1.472E+02  5.325E-25  2.080E-38
 1.459E+02  5.346E-25  2.069E-38
 1.445E+02  5.363E-25  2.056E-38
 1.432E+02  5.377E-25  2.043E-38
 1.419E+02  5.385E-25  2.027E-38
 1.406E+02  5.389E-25  2.010E-38
 1.393E+02  5.386E-25  1.990E-38
 1.380E+02  5.377E-25  1.969E-38
 1.368E+02  5.361E-25  1.945E-38
 1.355E+02  5.340E-25  1.920E-38
 1.343E+02  5.316E-25  1.894E-38
 1.330E+02  5.290E-25  1.867E-38
 1.318E+02  5.263E-25  1.840E-38
 1.306E+02  5.235E-25  1.814E-38
 1.294E+02  5.208E-25  1.788E-38
 1.282E+02  5.181E-25  1.762E-38
 1.271E+02  5.152E-25  1.736E-38
 1.259E+02  5.126E-25  1.712E-38
 1.247E+02  5.099E-25  1.687E-38
 1.236E+02  5.073E-25  1.663E-38
 1.225E+02  5.044E-25  1.638E-38
 1.213E+02  5.018E-25  1.615E-38
 1.202E+02  4.991E-25  1.592E-38
 1.191E+02  4.965E-25  1.569E-38
 1.180E+02  4.938E-25  1.546E-38
 1.169E+02  4.910E-25  1.523E-38
 1.159E+02  4.882E-25  1.501E-38
 1.148E+02  4.854E-25  1.478E-38
 1.138E+02  4.823E-25  1.455E-38
 1.127E+02  4.794E-25  1.433E-38
 1.117E+02  4.765E-25  1.412E-38
 1.107E+02  4.735E-25  1.390E-38
 1.096E+02  4.705E-25  1.368E-38
 1.086E+02  4.675E-25  1.347E-38
 1.076E+02  4.644E-25  1.326E-38
 1.067E+02  4.612E-25  1.305E-38
 1.057E+02  4.580E-25  1.284E-38
 1.047E+02  4.548E-25  1.263E-38
 1.038E+02  4.515E-25  1.243E-38
 1.028E+02  4.475E-25  1.220E-38
 1.019E+02  4.441E-25  1.200E-38
 1.009E+02  4.407E-25  1.180E-38
 1.000E+02  4.373E-25  1.160E-38
 9.908E+01  4.336E-25  1.140E-38
 9.817E+01  4.301E-25  1.120E-38
 9.727E+01  4.265E-25  1.100E-38
 9.638E+01  4.229E-25  1.081E-38
 9.550E+01  4.193E-25  1.062E-38
 9.462E+01  4.157E-25  1.043E-38
 9.376E+01  4.120E-25  1.025E-38
 9.290E+01  4.084E-25  1.006E-38
 9.204E+01  4.047E-25  9.881E-39
 9.120E+01  4.010E-25  9.702E-39
 9.036E+01  3.974E-25  9.525E-39
 8.954E+01  3.937E-25  9.350E-39
 8.872E+01  3.900E-25  9.178E-39
 8.790E+01  3.864E-25  9.009E-39
 8.710E+01  3.822E-25  8.829E-39
 8.630E+01  3.785E-25  8.665E-39
 8.551E+01  3.749E-25  8.503E-39
 8.472E+01  3.709E-25  8.336E-39
 8.395E+01  3.673E-25  8.179E-39
 8.318E+01  3.637E-25  8.024E-39
 8.241E+01  3.601E-25  7.873E-39
 8.166E+01  3.566E-25  7.725E-39
 8.091E+01  3.532E-25  7.580E-39
 8.017E+01  3.497E-25  7.437E-39
 7.943E+01  3.463E-25  7.297E-39
 7.870E+01  3.429E-25  7.159E-39
 7.798E+01  3.396E-25  7.025E-39
 7.727E+01  3.363E-25  6.893E-39
 7.656E+01  3.330E-25  6.763E-39
 7.586E+01  3.298E-25  6.637E-39
 7.516E+01  3.267E-25  6.513E-39
 7.447E+01  3.235E-25  6.390E-39
 7.379E+01  3.199E-25  6.261E-39
 7.311E+01  3.168E-25  6.145E-39
 7.244E+01  3.130E-25  6.014E-39
 7.178E+01  3.099E-25  5.901E-39
 7.112E+01  3.070E-25  5.791E-39
 7.047E+01  3.041E-25  5.685E-39
 6.982E+01  3.013E-25  5.581E-39
 6.918E+01  2.986E-25  5.480E-39
 6.855E+01  2.959E-25  5.381E-39
 6.792E+01  2.933E-25  5.284E-39
 6.730E+01  2.907E-25  5.189E-39
 6.668E+01  2.881E-25  5.097E-39
 6.607E+01  2.857E-25  5.007E-39
 6.546E+01  2.831E-25  4.916E-39
 6.486E+01  2.807E-25  4.830E-39
 6.427E+01  2.784E-25  4.746E-39
 6.368E+01  2.762E-25  4.665E-39
 6.310E+01  2.735E-25  4.577E-39
 6.252E+01  2.713E-25  4.499E-39
 6.194E+01  2.692E-25  4.424E-39
