         7 = grain model
 3.000E-08 3.000E-01 4.500E-05 = a_01 (cm) , sigma_1 , b_C1
 3.000E-07 3.000E-01 1.500E-05 = a_02 (cm) , sigma_2 , b_C2
 5.000E-01 1.000E+05 2.500E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.497E+00 = <U> 
     mmp83 = radfield

 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy sr-1 H-1)
 5.754E+02  6.815E-26  1.040E-38
 5.702E+02  7.066E-26  1.069E-38
 5.649E+02  7.327E-26  1.098E-38
 5.598E+02  7.596E-26  1.128E-38
 5.546E+02  7.875E-26  1.159E-38
 5.495E+02  8.164E-26  1.190E-38
 5.445E+02  8.463E-26  1.222E-38
 5.395E+02  8.772E-26  1.255E-38
 5.346E+02  9.092E-26  1.289E-38
 5.297E+02  9.424E-26  1.324E-38
 5.248E+02  9.766E-26  1.360E-38
 5.200E+02  1.012E-25  1.396E-38
 5.152E+02  1.049E-25  1.433E-38
 5.105E+02  1.087E-25  1.472E-38
 5.058E+02  1.126E-25  1.511E-38
 5.012E+02  1.167E-25  1.551E-38
 4.966E+02  1.208E-25  1.592E-38
 4.920E+02  1.252E-25  1.634E-38
 4.875E+02  1.297E-25  1.677E-38
 4.831E+02  1.343E-25  1.721E-38
 4.786E+02  1.391E-25  1.766E-38
 4.742E+02  1.441E-25  1.812E-38
 4.699E+02  1.492E-25  1.860E-38
 4.656E+02  1.545E-25  1.908E-38
 4.613E+02  1.600E-25  1.957E-38
 4.571E+02  1.656E-25  2.008E-38
 4.529E+02  1.714E-25  2.060E-38
 4.487E+02  1.775E-25  2.112E-38
 4.446E+02  1.837E-25  2.166E-38
 4.406E+02  1.901E-25  2.222E-38
 4.365E+02  1.967E-25  2.278E-38
 4.325E+02  2.036E-25  2.336E-38
 4.285E+02  2.106E-25  2.395E-38
 4.246E+02  2.179E-25  2.455E-38
 4.207E+02  2.255E-25  2.516E-38
 4.169E+02  2.332E-25  2.579E-38
 4.130E+02  2.412E-25  2.643E-38
 4.093E+02  2.495E-25  2.708E-38
 4.055E+02  2.580E-25  2.775E-38
 4.018E+02  2.668E-25  2.843E-38
 3.981E+02  2.758E-25  2.913E-38
 3.945E+02  2.852E-25  2.984E-38
 3.908E+02  2.948E-25  3.056E-38
 3.873E+02  3.047E-25  3.130E-38
 3.837E+02  3.149E-25  3.205E-38
 3.802E+02  3.255E-25  3.282E-38
