#wave       R1        R2         R3         R4
#
7268.57 0.000647367 0.00043313 0.000634521 0.00152495
7275.69 0.000630529 0.000383567 0.000570401 0.0012743
7282.8 0.000617992 0.000192022 0.000409195 0.000917515
7289.91 0.000527193 0.000224292 0.000357332 0.000863395
7297.02 0.000458479 0.00021006 0.000347229 0.000503598
7304.13 0.000492805 0.000198898 0.000265454 0.000396339
7311.24 0.000390464 0.000345208 0.000323623 0.000381387
7318.35 0.000397545 0.000254986 0.000189513 0.00040674
7325.47 0.000206846 0.000242019 0.000192335 0.000246925
7332.58 0.000116762 0.000207468 0.000241173 0.000195251
7339.69 0.000225573 0.00022821 0.000142633 0.000312808
7346.8 0.000191956 0.000204971 0.000123418 0.000297555
7353.91 0.000351497 0.000170849 0.000167663 0.000196022
7361.02 0.000270236 0.000120448 0.000211838 0.000163432
7368.13 0.00024348 0.000228082 0.000283716 0.000104762
7375.25 0.000317359 0.000298354 0.000178981 0.000154335
7382.36 0.000229087 0.000220221 0.000245431 0.000213409
7389.47 0.00011808 0.000321769 0.00032105 0.000207766
7396.58 0.000196312 0.000255087 0.000127107 0.000167502
7403.69 0.000354387 0.000189711 0.000168774 0.000145948
7410.8 0.00026834 0.000207422 0.000252071 8.887e-05
7417.92 0.000202356 0.000249798 0.000350176 0.000179122
7425.03 0.000276627 0.000232645 0.000248573 0.000188007
7432.14 0.000266935 0.00029393 0.000242959 0.000195391
7439.25 0.000222908 0.000188782 0.000256996 0.000192067
7446.36 0.000167807 0.000166482 0.000276366 0.000126659
7453.47 0.000171618 0.000191532 8.57777e-05 0.000160081
7460.58 0.000263163 0.000200902 0.000120016 0.000229815
7467.7 0.00018995 0.000219621 0.000232469 0.000170055
7474.81 0.000324239 0.000168092 0.000187916 0.000182455
7481.92 0.000205104 0.000125165 0.000255397 0.000239469
7489.03 0.000279521 0.000148216 0.000195915 0.000157898
7496.14 0.000218558 0.000215565 0.000165961 0.00020058
7503.25 0.000202104 0.000257517 0.000240245 0.00021072
7510.37 0.000240561 0.000188803 0.000100841 0.0002256
7517.48 0.000134099 0.000168345 0.000232499 0.000100892
7524.59 0.000216906 7.32301e-05 0.000131262 0.000322864
7531.7 0.000273012 0.000104671 0.000194392 0.000169186
7538.81 0.00019866 0.000198403 0.000147091 0.000210762
7545.92 0.00039577 0.000189911 0.000140861 0.000333151
7553.03 0.000320885 0.000184987 0.000163144 0.000147784
7560.15 0.000317847 9.5018e-05 0.000230643 0.000281278
7567.26 0.000208888 0.000133815 0.000307533 0.000223091
7574.37 0.000282463 0.000159717 0.000369956 0.000271516
7581.48 0.000342774 0.00015436 0.000342982 0.000336554
7588.59 0.000324091 0.000131776 0.000261965 0.000167441
7595.7 0.000305305 0.000216334 0.000356975 0.000157447
7602.81 0.000371108 0.000321345 0.000255259 0.000185238
7609.93 0.00042725 0.000280341 0.000237043 0.000248455
7617.04 0.000393716 0.000333122 0.000290957 0.000250938
7624.15 0.000143442 0.000251967 0.000359436 0.000272686
7631.26 0.000374389 0.00030613 0.000230038 0.000211732
7638.37 0.000440826 0.000296776 0.000191236 0.000319086
7645.48 0.000389269 0.000286391 0.000215508 0.000146463
7652.6 0.000212587 0.00013235 0.00011322 0.000297223
7659.71 0.00034591 0.00018047 0.000261484 0.000243007
7666.82 0.000241183 0.000233456 0.000274338 0.000291007
7673.93 0.000223501 9.61077e-05 0.000249 0.000168709
7681.04 0.000295797 9.55798e-05 0.000361972 0.000240424
7688.15 0.000250344 0.000174457 0.000385898 0.000155722
7695.26 0.000309342 0.000135606 0.000318578 0.000113279
7702.38 0.000277358 0.000247458 0.000203897 0.000232148
7709.49 0.000362338 0.000189207 0.00023377 0.000250616
7716.6 0.000170952 0.000193109 0.000270202 0.000190067
7723.71 0.000259773 0.00027325 0.000214704 0.000158781
7730.82 0.000273178 0.000249516 0.000219943 0.000119231
7737.93 0.000184396 0.000202736 0.000217774 0.000118103
7745.05 0.000234631 0.000228078 0.000151266 0.000117873
7752.16 0.000192671 0.000235592 0.000181557 0.000244987
7759.27 0.000185416 0.000187096 0.000181807 0.000170833
7766.38 0.000332097 0.000172268 0.000249075 0.000338306
7773.49 0.000120435 0.000154289 0.000209761 0.000250145
7780.6 0.000172009 0.000230771 0.00025569 0.000161265
7787.71 0.000286196 0.000242806 0.000171791 0.000174354
7794.83 0.000132512 0.000214824 0.000153303 0.000174481
7801.94 0.000199253 9.50985e-05 0.000212325 0.000151345
7809.05 0.000168657 0.000164436 0.000142798 0.000261304
7816.16 0.00018405 0.000149611 0.0003914 0.000122724
7823.27 0.000155224 0.000129186 0.000268288 0.000122054
7830.38 0.000361706 0.000174949 0.000146223 0.000110773
7837.49 0.00019888 0.000213136 0.000260016 0.00022786
7844.61 0.000121812 0.000276782 0.000326208 0.000301927
7851.72 0.000132023 0.00023537 0.000265965 0.000109481
7858.83 0.000264698 0.00028699 0.000277829 0.000221863
7865.94 0.000135888 0.000240466 0.000219437 0.00017146
7873.05 8.5149e-05 0.000244467 0.000174103 0.000185764
7880.16 0.000174847 0.000184191 0.000146407 0.000282477
7887.28 0.000301458 0.00019921 0.000208813 0.000109295
7894.39 0.000212306 0.000151806 0.000333705 0.000152676
7901.5 0.000208678 0.000391465 0.000189034 0.000116134
7908.61 0.000240521 0.000152933 0.000215818 0.000284031
7915.72 0.000252963 0.000283791 0.000112996 0.000133216
7922.83 0.000163635 0.000187212 0.000170635 0.000174399
7929.94 0.00016936 0.000213085 0.000139963 9.38054e-05
7937.06 0.000146863 0.000270285 0.000169264 0.000229541
7944.17 0.000189226 0.000235703 0.000277714 0.000202333
7951.28 0.000256488 0.000129777 0.000388413 0.000185626
7958.39 0.000324656 0.000168963 0.000227299 0.000241843
7965.5 0.000227915 0.000210137 0.000170419 0.000152316
7972.61 0.000138165 0.000222803 0.000251588 0.000117495
7979.73 0.000181639 0.00031361 0.000328705 7.22682e-05
7986.84 0.000214254 0.000300764 0.000240724 0.000111911
7993.95 0.00024992 0.000295426 0.00013938 0.000130727
8001.06 0.00017234 0.000198543 0.000198386 0.000156015
8008.17 0.000285122 0.000180432 0.000170822 0.0002055
8015.28 0.000382007 0.00021544 0.000275462 0.000158963
